,report_date,civic_buildings_ext_destroyed,educational_buildings_ext_destroyed,educational_buildings_ext_damaged,places_of_worship_ext_mosques_destroyed,places_of_worship_ext_mosques_damaged,places_of_worship_ext_churches_destroyed,residential_ext_destroyed
0,10/7/2023,5,1,15,2,4,0,80
1,10/8/2023,11,1,30,4,8,0,159
2,10/9/2023,16,2,45,6,12,0,790
3,10/10/2023,22,2,60,8,17,0,1009
4,10/11/2023,27,3,75,10,21,0,2835
5,10/12/2023,29,3,75,10,25,0,4188
6,10/13/2023,31,9,100,12,29,0,5540
7,10/14/2023,33,14,124,14,33,0,7000
8,10/15/2023,35,14,143,16,37,0,8840
9,10/16/2023,37,18,150,18,41,1,10500
10,10/17/2023,39,18,153,20,46,1,12000
11,10/18/2023,41,20,157,22,50,1,13577
12,10/19/2023,43,22,160,24,54,1,15154
13,10/20/2023,45,23,164,26,58,1,16731
14,10/21/2023,47,25,167,28,62,1,18308
15,10/22/2023,49,27,171,30,66,1,19885
16,10/23/2023,51,29,174,32,70,1,21462
17,10/24/2023,53,30,178,34,75,1,23038
18,10/25/2023,55,32,181,36,79,1,24615
19,10/26/2023,57,34,185,38,83,1,26192
20,10/27/2023,59,36,188,39,87,1,27769
21,10/28/2023,60,37,192,41,91,1,29346
22,10/29/2023,62,39,196,43,95,1,30923
23,10/30/2023,64,41,199,45,99,1,32500
24,10/31/2023,66,43,203,47,104,1,33571
25,11/1/2023,68,44,206,49,108,1,34643
26,11/2/2023,70,46,210,51,112,1,35714
27,11/3/2023,72,48,213,53,116,1,36786
28,11/4/2023,74,50,217,55,120,2,37857
29,11/5/2023,76,51,220,57,124,2,38929
30,11/6/2023,78,53,224,59,128,2,40000
31,11/7/2023,80,55,227,61,133,2,40250
32,11/8/2023,82,57,231,63,137,2,40500
33,11/9/2023,84,58,234,65,141,2,40750
34,11/10/2023,88,60,238,67,145,2,41000
35,11/11/2023,89,60,239,68,146,2,41015
36,11/12/2023,89,61,241,70,148,2,41030
37,11/13/2023,90,61,242,71,149,2,41120
38,11/14/2023,91,61,243,72,151,2,42000
39,11/15/2023,91,62,245,74,152,2,42250
40,11/16/2023,92,62,246,75,154,2,42500
41,11/17/2023,93,62,247,76,155,2,42750
42,11/18/2023,93,63,249,78,156,2,43000
43,11/19/2023,94,63,250,79,158,2,43000
44,11/20/2023,95,63,251,80,159,2,43000
45,11/21/2023,96,63,253,82,161,2,44000
46,11/22/2023,96,64,254,83,162,2,45000
47,11/23/2023,97,64,255,84,164,3,46000
48,11/24/2023,98,64,256,86,165,3,47000
49,11/25/2023,98,65,258,87,166,3,48000
50,11/26/2023,99,65,259,89,168,3,49000
51,11/27/2023,100,65,260,90,169,3,50000
52,11/28/2023,100,66,262,91,171,3,50000
53,11/29/2023,101,66,263,93,172,3,50000
54,11/30/2023,102,66,264,94,174,3,50000
55,12/1/2023,103,67,267,95,175,3,50000
56,12/2/2023,103,67,267,97,181,3,50000
57,12/3/2023,103,67,270,98,183,3,50000
58,12/4/2023,107,69,271,99,186,3,51000
59,12/5/2023,110,70,273,101,189,3,52000
60,12/6/2023,114,72,274,102,191,3,52000
61,12/7/2023,121,73,275,103,194,3,52000
62,12/8/2023,122,73,275,105,194,3,52100
63,12/9/2023,123,74,276,106,195,3,52200
64,12/10/2023,124,74,276,107,195,3,52300
65,12/11/2023,124,75,276,109,196,3,52400
66,12/12/2023,126,75,277,110,196,3,52500
67,12/13/2023,126,80,278,111,197,3,52500
68,12/14/2023,126,85,280,111,199,3,52500
69,12/15/2023,126,90,282,112,200,3,52500
70,12/16/2023,126,90,282,112,200,3,52500
71,12/17/2023,126,90,282,112,200,3,52500
72,12/18/2023,126,90,282,112,200,3,52500
73,12/19/2023,126,90,282,112,200,3,52600
74,12/20/2023,126,90,283,114,200,3,53000
75,12/21/2023,126,91,284,114,200,3,55400
76,12/22/2023,126,91,284,115,200,3,57800
77,12/23/2023,126,92,285,115,200,3,60200
78,12/24/2023,126,92,285,115,200,3,62600
79,12/25/2023,126,92,285,115,200,3,65000
80,12/26/2023,126,92,285,115,200,3,65000
81,12/27/2023,126,92,285,115,200,3,65000
82,12/28/2023,126,92,285,116,203,3,65000
83,12/29/2023,126,92,285,116,205,3,65000
84,12/30/2023,126,92,285,117,208,3,65000
85,12/31/2023,126,92,285,119,212,3,65000
86,1/1/2024,130,93,292,120,212,3,65000
87,1/2/2024,130,93,292,121,214,3,65000
88,1/3/2024,130,93,292,121,216,3,65000
89,1/4/2024,130,93,292,122,218,3,65000
90,1/5/2024,132,94,294,126,229,3,67000
91,1/6/2024,134,94,295,130,240,3,69000
92,1/7/2024,134,94,295,134,240,3,69000
93,1/8/2024,134,95,295,138,240,3,69000
94,1/9/2024,134,95,295,142,240,3,69000
95,1/10/2024,134,95,295,142,240,3,69100
96,1/11/2024,134,95,295,142,240,3,69200
97,1/12/2024,134,95,295,145,242,3,69250
98,1/13/2024,134,95,295,147,243,3,69300
99,1/14/2024,134,95,295,150,245,3,70000
100,1/15/2024,135,96,295,152,245,3,70000
101,1/16/2024,136,96,295,154,246,3,70000
102,1/17/2024,137,97,295,155,246,3,70000
103,1/18/2024,138,97,295,157,246,3,70000
104,1/19/2024,139,98,295,158,248,3,70000
105,1/20/2024,139,98,295,159,250,3,70000
106,1/21/2024,140,99,295,160,251,3,70000
107,1/22/2024,140,99,295,161,253,3,70000
108,1/23/2024,140,99,295,161,253,3,70000
109,1/24/2024,140,99,295,161,253,3,70000
110,1/25/2024,140,99,295,161,253,3,70000
111,1/26/2024,140,99,295,161,253,3,70000
112,1/27/2024,140,99,295,161,253,3,70000
113,1/28/2024,140,99,295,161,253,3,70000
114,1/29/2024,140,99,295,161,253,3,70000
115,1/30/2024,140,99,295,161,253,3,70000
116,1/31/2024,140,99,295,167,256,3,70000
117,2/1/2024,140,100,295,172,259,3,70000
118,2/2/2024,140,100,295,178,261,3,70000
119,2/3/2024,140,100,295,183,264,3,70000
120,2/4/2024,140,100,295,183,264,3,70000
121,2/5/2024,141,100,295,183,265,3,70000
122,2/6/2024,141,100,295,183,265,3,70000
123,2/7/2024,141,100,295,184,265,3,70000
124,2/8/2024,141,100,295,184,265,3,70000
125,2/9/2024,142,100,295,184,266,3,70000
126,2/10/2024,142,100,295,184,266,3,70000
127,2/11/2024,142,100,295,184,266,3,70000
128,2/12/2024,142,100,295,184,266,3,70000
129,2/13/2024,142,100,295,184,266,3,70000
130,2/14/2024,142,100,295,184,266,3,70000
131,2/15/2024,142,100,295,184,266,3,70000
132,2/16/2024,142,100,295,184,266,3,70000
