Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,"Month,Year",Events,Fatalities
Palestine,Gaza Strip,Khan Yunis,PSE,PS0270,PS02,January,2024,"January,2024",144,1540.00
Palestine,Gaza Strip,Deir El Balah,PSE,PS0265,PS02,January,2024,"January,2024",121,1366.00
Palestine,Gaza Strip,Gaza City,PSE,PS0260,PS02,January,2024,"January,2024",91,1197.00
Palestine,Gaza Strip,Gaza City,PSE,PS0260,PS02,February,2024,"February,2024",118,1016.00
Palestine,Gaza Strip,Deir El Balah,PSE,PS0265,PS02,February,2024,"February,2024",93,808.00
Palestine,Gaza Strip,Gaza City,PSE,PS0260,PS02,March,2024,"March,2024",150,718.00
Palestine,Gaza Strip,Deir El Balah,PSE,PS0265,PS02,April,2024,"April,2024",107,541.00
Palestine,Gaza Strip,Deir El Balah,PSE,PS0265,PS02,March,2024,"March,2024",92,533.00
Palestine,Gaza Strip,Rafah,PSE,PS0275,PS02,February,2024,"February,2024",80,530.00
Palestine,Gaza Strip,Khan Yunis,PSE,PS0270,PS02,February,2024,"February,2024",105,492.00
Palestine,Gaza Strip,Gaza City,PSE,PS0260,PS02,April,2024,"April,2024",111,379.00
Palestine,Gaza Strip,Gaza City,PSE,PS0260,PS02,May,2024,"May,2024",101,375.00
Palestine,Gaza Strip,North Gaza,PSE,PS0255,PS02,May,2024,"May,2024",55,353.00
Palestine,Gaza Strip,Khan Yunis,PSE,PS0270,PS02,March,2024,"March,2024",75,352.00
Palestine,Gaza Strip,North Gaza,PSE,PS0255,PS02,January,2024,"January,2024",42,351.00
Palestine,Gaza Strip,Rafah,PSE,PS0275,PS02,April,2024,"April,2024",57,294.00
Palestine,Gaza Strip,Rafah,PSE,PS0275,PS02,March,2024,"March,2024",59,265.00
Palestine,Gaza Strip,Rafah,PSE,PS0275,PS02,January,2024,"January,2024",52,259.00
Palestine,Gaza Strip,North Gaza,PSE,PS0255,PS02,April,2024,"April,2024",34,225.00
Palestine,Gaza Strip,North Gaza,PSE,PS0255,PS02,March,2024,"March,2024",44,220.00
Palestine,Gaza Strip,Deir El Balah,PSE,PS0265,PS02,May,2024,"May,2024",60,192.00
Palestine,Gaza Strip,Rafah,PSE,PS0275,PS02,May,2024,"May,2024",79,192.00
Palestine,Gaza Strip,Khan Yunis,PSE,PS0270,PS02,April,2024,"April,2024",35,183.00
Palestine,Gaza Strip,North Gaza,PSE,PS0255,PS02,February,2024,"February,2024",26,81.00
Palestine,Gaza Strip,Khan Yunis,PSE,PS0270,PS02,May,2024,"May,2024",23,40.00
Palestine,West Bank,Jenin,PSE,PS0101,PS01,January,2024,"January,2024",14,7.00
Palestine,West Bank,Tulkarm,PSE,PS0110,PS01,March,2024,"March,2024",8,6.00
Palestine,West Bank,Nablus,PSE,PS0115,PS01,February,2024,"February,2024",26,4.00
Palestine,West Bank,Jenin,PSE,PS0101,PS01,March,2024,"March,2024",11,3.00
Palestine,West Bank,Hebron,PSE,PS0150,PS01,January,2024,"January,2024",36,2.00
Palestine,West Bank,Ramallah and Al Bireh,PSE,PS0130,PS01,January,2024,"January,2024",15,2.00
Palestine,West Bank,Hebron,PSE,PS0150,PS01,February,2024,"February,2024",32,2.00
Palestine,West Bank,Nablus,PSE,PS0115,PS01,March,2024,"March,2024",43,2.00
Palestine,West Bank,Ramallah and Al Bireh,PSE,PS0130,PS01,March,2024,"March,2024",25,2.00
Palestine,West Bank,Nablus,PSE,PS0115,PS01,April,2024,"April,2024",35,2.00
Palestine,West Bank,Al Quds,PSE,PS0140,PS01,February,2024,"February,2024",7,1.00
Palestine,West Bank,Bethlehem,PSE,PS0145,PS01,February,2024,"February,2024",16,1.00
Palestine,West Bank,Bethlehem,PSE,PS0145,PS01,March,2024,"March,2024",13,1.00
Palestine,West Bank,Hebron,PSE,PS0150,PS01,April,2024,"April,2024",23,1.00
Palestine,West Bank,Ramallah and Al Bireh,PSE,PS0130,PS01,April,2024,"April,2024",26,1.00
Palestine,West Bank,Al Quds,PSE,PS0140,PS01,January,2024,"January,2024",11,0.00
Palestine,West Bank,Bethlehem,PSE,PS0145,PS01,January,2024,"January,2024",12,0.00
Palestine,West Bank,Jericho,PSE,PS0135,PS01,January,2024,"January,2024",1,0.00
Palestine,West Bank,Nablus,PSE,PS0115,PS01,January,2024,"January,2024",26,0.00
Palestine,West Bank,Qalqilya,PSE,PS0120,PS01,January,2024,"January,2024",12,0.00
Palestine,West Bank,Salfit,PSE,PS0125,PS01,January,2024,"January,2024",7,0.00
Palestine,West Bank,Tubas,PSE,PS0105,PS01,January,2024,"January,2024",1,0.00
Palestine,West Bank,Tulkarm,PSE,PS0110,PS01,January,2024,"January,2024",7,0.00
Palestine,West Bank,Jenin,PSE,PS0101,PS01,February,2024,"February,2024",11,0.00
Palestine,West Bank,Jericho,PSE,PS0135,PS01,February,2024,"February,2024",4,0.00
Palestine,West Bank,Qalqilya,PSE,PS0120,PS01,February,2024,"February,2024",5,0.00
