,name_en,notes
0,Muhammad al-Salhi,"Al-Salhi, a photojournalist working for the Fourth Authority news agency, was shot dead near a Palestinian refugee camp in the central Gaza Strip, according to the Palestinian Authority’s official news agency Wafa, and the Journalist Support Committee (JSC), a nonprofit which promotes the rights of the media in the Middle East."
1,Ibrahem Lafii,"Ibrahim Mohammad Lafi, a photographer for Ain Media, was shot and killed at the Gaza Strip’s Erez Crossing into Israel, according to the Palestinian press freedom group MADA, the Beirut-based press freedom group SKeyes, and Al-Jazeera."
2,Muhammad Jarghoun,"Jarghoun, a journalist with Smart Media, was shot while reporting on the conflict in an area to the east of Rafah city in the southern Gaza Strip, according to the BBC and UNESCO."
3,Assad Shmlkh,"Shamlakh, a freelance journalist, was killed along with nine members of his family in an Israeli airstrike on their home in Sheikh Ijlin, a neighborhood in the southern Gaza Strip, according to the Beirut-based advocacy group The Legal Agenda and BBC Arabic."
4,Saeed Altoil,"Al-Taweel, editor-in-chief of the Al-Khamsa News website, was killed when Israeli warplanes struck an area housing several media outlets in Gaza City’s Rimal district, according to the U.K.-based newspaper, The Independent, Al Jazeera, and the Palestinian Authority’s official news agency Wafa."
5,Hsham Alnwajhah,"Alnwajha, a journalist with Khabar news agency, was injured when Israeli warplanes struck an area housing several media outlets in Gaza City’s Rimal district, according to the U.K.-based newspaper The Independent, Al Jazeera, and the Palestinian Authority’s official news agency Wafa. He died of his injuries later that day, according to the Palestinian press freedom group MADA, the Palestinian Journalists’ Syndicate, and Palestinian news website AlWatan Voice."
6,Muhammad Abu Rizq,
7,Aaid al-Najar,
8,Muhammad Abu Motar,
9,Rajab Alnqaib,
10,Ahmed Shehab,"A journalist for Sowt Al-Asra Radio (Radio Voice of the Prisoners), Shehab, along with his wife and three children, was killed in an Israeli airstrike on his house in Jabalia, in the northern Gaza Strip, according to the Palestinian Journalists’ Syndicate, Palestinian press freedom group MADA, and the London-based news website The New Arab."
11,Abdalrahamun Shehab,
12,Husam Mubarak,"Mubarak, a journalist for the Al Aqsa Radio, was killed in an Israeli airstrike in the northern Gaza Strip, according to the Beirut-based press freedom group Skeyes and the Palestinian Journalists’ Syndicate."
13,Hani al-Madhoun,
